date_string,time_string,player_name,pokemon,trainer_name, trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-20,20:48:01,NINTEN,Raichu,Youngster,1,Route 3,2,17:10.97,17:10,0h17m10s,1,1,19,1:05,6.783,THUNDERSHOCK,GROWL,THUNDER WAVE,,1,2686,106,11,115,282,282,132,2,1723,Jolteon
11-20,20:48:11,NINTEN,Raichu,Lass,2,Route 3,2,17:20.67,17:20,0h17m20s,1,1,19,1:06,5.845,THUNDERSHOCK,GROWL,THUNDER WAVE,,1,2692,106,12,115,284,284,132,2,1888,Jolteon
11-20,20:48:24,NINTEN,Raichu,Bug Catcher,6,Route 3,2,17:34.33,17:34,0h17m34s,1,1,19,1:06,6.203,THUNDERSHOCK,GROWL,THUNDER WAVE,,1,2750,111,13,115,286,286,132,2,2038,Jolteon
11-20,20:49:20,NINTEN,Raichu,Super Nerd,2,Mt Moon - 3,3,18:29.62,18:29,0h18m29s,1,1,20,1:10,12.579,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,1,3148,129,14,115,291,291,134,3,2148,Jolteon
11-20,20:49:38,NINTEN,Raichu,Rocket,42,Mt Moon - 3,3,18:47.87,18:47,0h18m47s,1,1,20,1:11,10.422,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,1,3164,131,15,115,295,295,135,4,2448,Jolteon
11-20,20:50:00,NINTEN,Raichu,Jr Trainer F,1,Cerulean City - Gym,1,19:09.88,19:09,0h19m9s,1,1,21,1:13,6.358,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,1,3308,134,16,115,297,297,136,4,2868,Jolteon
11-20,20:50:14,NINTEN,Raichu,Misty,1,Cerulean City - Gym,2,19:24.31,19:24,0h19m24s,1,1,22,1:14,10.375,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,1,3309,139,17,115,301,301,137,4,3248,Jolteon
11-20,20:50:56,NINTEN,Raichu,Rival2-Nugget Bridge,3,Cerulean City,4,20:05.60,20:05,0h20m5s,1,1,22,1:16,16.282,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3423,141,18,115,308,308,140,5,5327,Jolteon
11-20,20:51:10,NINTEN,Raichu,Bug Catcher,9,Route 24,2,20:20.13,20:20,0h20m20s,1,1,23,1:17,6.797,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3434,141,19,115,310,310,140,5,5922,Jolteon
11-20,20:51:19,NINTEN,Raichu,Lass,8,Route 24,2,20:29.35,20:29,0h20m29s,1,1,23,1:18,6.564,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3436,144,20,115,312,312,140,5,6062,Jolteon
11-20,20:51:31,NINTEN,Raichu,Youngster,4,Route 24,3,20:40.65,20:40,0h20m40s,1,1,23,1:19,8.421,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3440,145,21,115,315,315,140,5,6272,Jolteon
11-20,20:51:40,NINTEN,Raichu,Lass,7,Route 24,2,20:50.06,20:50,0h20m50s,1,1,23,1:19,6.594,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3444,146,22,115,317,317,140,5,6482,Jolteon
11-20,20:51:48,NINTEN,Raichu,Jr Trainer M,3,Route 24,1,20:58.05,20:58,0h20m58s,1,1,24,1:20,5.187,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3448,147,23,115,318,318,140,5,6722,Jolteon
11-20,20:52:01,NINTEN,Raichu,Rocket,6,Route 24,2,21:10.53,21:10,0h21m10s,1,1,24,1:21,6.267,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3454,148,24,115,320,320,140,6,7082,Jolteon
11-20,20:52:24,NINTEN,Raichu,Hiker,2,Route 25,2,21:34.15,21:34,0h21m34s,1,1,24,1:22,13.984,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3496,149,25,115,327,327,145,6,7532,Jolteon
11-20,20:52:44,NINTEN,Raichu,Lass,9,Route 25,2,21:53.58,21:53,0h21m53s,1,1,24,1:23,8.952,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3518,150,26,115,330,330,146,7,8057,Jolteon
11-20,20:52:54,NINTEN,Raichu,Jr Trainer M,2,Route 25,2,22:03.53,22:03,0h22m3s,1,1,24,1:24,6.047,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3528,157,27,115,332,332,146,7,8282,Jolteon
11-20,20:53:09,NINTEN,Raichu,Lass,10,Route 25,3,22:18.68,22:18,0h22m18s,1,1,25,1:25,10.952,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3543,157,28,115,335,335,147,7,8562,Jolteon
11-20,20:53:51,NINTEN,Raichu,Cerulean Rocket,5,Cerulean City,2,23:00.61,23:00,0h23m0s,1,1,25,1:28,8.172,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3741,177,29,115,338,338,148,9,8757,Jolteon
11-20,20:54:17,NINTEN,Raichu,Jr Trainer F,3,Route 6,3,23:26.46,23:26,0h23m26s,1,1,25,1:30,9.015,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3887,178,30,115,341,341,149,11,9267,Jolteon
11-20,20:54:28,NINTEN,Raichu,Jr Trainer M,5,Route 6,2,23:37.78,23:37,0h23m37s,1,1,26,1:30,8.502,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,3888,178,31,115,344,344,150,11,9587,Jolteon
11-20,20:55:01,NINTEN,Raichu,Sailor,5,SS Anne,2,24:11.28,24:11,0h24m11s,1,1,26,1:33,8.014,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,4022,186,32,115,347,347,151,14,8057,Jolteon
11-20,20:55:18,NINTEN,Raichu,Youngster,8,SS Anne,1,24:27.76,24:27,0h24m27s,1,1,26,1:34,6.828,THUNDERSHOCK,GROWL,THUNDER WAVE,MEGA PUNCH,2,4089,197,33,115,349,349,152,15,8597,Jolteon
11-20,20:55:42,NINTEN,Raichu,Gentleman,5,SS Anne,2,24:51.49,24:51,0h24m51s,1,1,27,1:35,7.5,BODY SLAM,THUNDERSHOCK,THUNDER WAVE,MEGA PUNCH,2,4145,209,34,115,351,351,152,15,8912,Jolteon
11-20,20:56:02,NINTEN,Raichu,Rival3-SS Anne,1,SS Anne,4,25:12.12,25:12,0h25m12s,1,1,27,1:37,13.314,BODY SLAM,THUNDERSHOCK,THUNDER WAVE,MEGA PUNCH,2,4174,212,35,115,356,356,154,15,10102,Jolteon
11-20,20:56:54,NINTEN,Raichu,Surge,1,Vermilion City - Gym,1,26:04.33,26:04,0h26m4s,1,1,27,1:40,5.579,BODY SLAM,THUNDERSHOCK,THUNDER WAVE,MEGA PUNCH,3,4355,222,36,115,358,358,155,15,11402,Jolteon
11-20,20:58:31,NINTEN,Raichu,Wrapping Lass,5,Route 9,4,27:40.82,27:40,0h27m40s,1,1,28,1:46,11.141,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,3,4805,259,37,115,362,362,155,16,14174,Jolteon
11-20,20:58:45,NINTEN,Raichu,Bug Catcher,14,Route 9,3,27:54.54,27:54,0h27m54s,1,1,28,1:47,8.47,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,3,4844,261,38,115,365,365,155,16,14534,Jolteon
11-20,20:59:08,NINTEN,Raichu,Pokemaniac,7,Rock Tunnel - 1,2,28:18.20,28:18,0h28m18s,1,1,29,1:49,8.671,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,4,4949,273,39,115,368,368,155,16,14734,Jolteon
11-20,20:59:17,NINTEN,Raichu,Pokemaniac,5,Rock Tunnel,1,28:26.52,28:26,0h28m26s,1,1,29,1:49,4.174,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,4,4987,274,40,115,369,369,155,16,15884,Jolteon
11-20,20:59:40,NINTEN,Raichu,Jr Trainer F,10,Rock Tunnel,2,28:50.37,28:50,0h28m50s,1,1,29,1:51,20.734,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,4,4999,274,41,115,380,373,164,16,17134,Jolteon
11-20,21:00:22,NINTEN,Raichu,Selfdestructing Hiker,9,Rock Tunnel,3,29:32.24,29:32,0h29m32s,1,1,30,1:54,13.545,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,5,5112,291,42,115,385,378,167,16,17574,Jolteon
11-20,21:00:41,NINTEN,Raichu,Jr Trainer F,18,Rock Tunnel - 1,3,29:50.57,29:50,0h29m50s,1,1,30,1:55,8.3,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,5,5167,304,43,115,388,381,167,15,18309,Jolteon
11-20,21:00:59,NINTEN,Raichu,Gambler,7,Route 8,2,30:08.95,30:08,0h30m8s,1,1,30,1:56,8.345,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,5,5251,312,44,115,391,384,169,16,18709,Jolteon
11-20,21:01:18,NINTEN,Raichu,Super Nerd,4,Route 8,3,30:28.30,30:28,0h30m28s,1,1,31,1:57,10.97,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,5,5266,315,45,115,395,388,170,16,20389,Jolteon
11-20,21:01:42,NINTEN,Raichu,Gambler,5,Route 8,3,30:52.30,30:52,0h30m52s,1,1,31,1:59,8.814,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,5,5310,321,46,115,398,391,170,15,20939,Jolteon
11-20,21:02:25,NINTEN,Raichu,Rocket,7,Celadon City - Game Corner,2,31:34.80,31:34,0h31m34s,1,1,31,2:02,6.171,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,5,5521,334,47,115,400,393,170,13,22479,Jolteon
11-20,21:02:59,NINTEN,Raichu,Rocket,15,Rocket Hideout 3,2,32:08.85,32:08,0h32m8s,1,1,32,2:04,6.967,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,5,5690,346,48,115,402,395,170,14,23079,Jolteon
11-20,21:05:25,NINTEN,Raichu,Rival4-Pkmn Tower,2,Pokemon Tower - 2F,5,34:35.20,34:35,0h34m35s,1,1,33,2:14,16.281,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,5,6197,393,49,116,409,402,172,15,2059,Jolteon
11-20,21:05:51,NINTEN,Raichu,Channeler,10,Pokemon Tower - 4F,2,35:00.93,35:00,0h35m0s,1,1,33,2:15,6.514,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,6,6245,396,50,116,411,404,172,15,3684,Jolteon
11-20,21:06:12,NINTEN,Raichu,Channeler,21,Pokemon Tower - 6F,1,35:22.35,35:22,0h35m22s,1,1,33,2:17,4.251,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,6,6325,424,51,116,412,405,172,15,4374,Jolteon
11-20,21:06:19,NINTEN,Raichu,Channeler,20,Pokemon Tower - 6F,1,35:29.30,35:29,0h35m29s,1,1,33,2:17,4.264,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,6,6334,427,52,116,413,406,172,15,5094,Jolteon
11-20,21:06:43,NINTEN,Raichu,Rocket,44,Pokemon Tower - 7F,3,35:52.83,35:52,0h35m52s,1,1,34,2:19,11.141,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,6,6359,428,53,117,417,410,173,15,5814,Jolteon
11-20,21:07:31,NINTEN,Raichu,Biker,7,Route 16,4,36:40.98,36:40,0h36m40s,1,1,34,2:22,10.438,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,6,6480,430,54,118,421,414,173,16,6624,Jolteon
11-20,21:07:46,NINTEN,Raichu,Biker,8,Route 17,3,36:55.76,36:55,0h36m55s,1,1,35,2:23,10.891,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,6,6501,430,55,118,425,418,174,16,7144,Jolteon
11-20,21:07:55,NINTEN,Raichu,Cue Ball,5,Route 17,2,37:05.33,37:05,0h37m5s,1,1,35,2:23,6.531,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,6,6508,433,56,118,427,420,174,16,7704,Jolteon
11-20,21:08:10,NINTEN,Raichu,Cue Ball,4,Route 17,2,37:20.28,37:20,0h37m20s,1,1,36,2:24,7.343,BODY SLAM,THUNDERBOLT,THUNDER WAVE,SEISMIC TOSS,6,6528,448,57,118,429,422,174,16,8429,Jolteon
11-20,21:08:27,NINTEN,Raichu,Cue Ball,8,Route 17,2,37:36.93,37:36,0h37m36s,1,1,36,2:26,7.188,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,6,6617,450,58,118,431,424,174,16,9154,Jolteon
11-20,21:08:57,NINTEN,Raichu,Biker,12,Route 17,5,38:07.41,38:07,0h38m7s,1,1,37,2:28,16.485,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,6,6645,451,59,118,437,430,175,14,9879,Jolteon
11-20,21:10:34,NINTEN,Raichu,Cooltrainer F,1,Celadon City - Gym,3,39:44.44,39:44,0h39m44s,1,1,38,2:34,12.327,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,6,7265,485,60,118,442,435,176,17,9879,Jolteon
11-20,21:10:57,NINTEN,Raichu,Erika,1,Celadon City - Gym,3,40:06.66,40:06,0h40m6s,1,1,38,2:35,14.72,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7268,486,61,118,451,440,177,17,10719,Jolteon
11-20,21:11:44,NINTEN,Raichu,Rocket,39,Silph Co - 10F,1,40:53.94,40:53,0h40m53s,1,1,39,2:38,6.079,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7451,506,62,118,453,442,178,17,13887,Jolteon
11-20,21:12:04,NINTEN,Raichu,Rocket,32,Silph Co - 7F,4,41:14.24,41:14,0h41m14s,1,1,39,2:40,10.952,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7508,509,63,118,457,446,178,18,14877,Jolteon
11-20,21:12:29,NINTEN,Raichu,Scientist,8,Silph Co - 7F,2,41:39.01,41:39,0h41m39s,1,1,40,2:41,10.562,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7551,517,64,118,460,449,180,16,15657,Jolteon
11-20,21:13:05,NINTEN,Raichu,Scientist,7,Silph Co - 6F,5,42:14.67,42:14,0h42m14s,1,1,40,2:44,16.078,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7607,520,65,118,466,455,181,14,17107,Jolteon
11-20,21:13:26,NINTEN,Raichu,Scientist,6,Silph Co - 5F,4,42:35.50,42:35,0h42m35s,1,1,41,2:45,14.405,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7641,522,66,118,471,460,182,14,18357,Jolteon
11-20,21:13:33,NINTEN,Raichu,Rocket,28,Silph Co - 5F,1,42:43.05,42:43,0h42m43s,1,1,41,2:46,4.189,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7652,523,67,118,472,461,182,14,19657,Jolteon
11-20,21:13:58,NINTEN,Raichu,Scientist,10,Silph Co - 9F,3,43:08.42,43:08,0h43m8s,1,1,41,2:47,9.875,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7718,529,68,118,475,464,182,15,20647,Jolteon
11-20,21:14:19,NINTEN,Raichu,Rocket,38,Silph Co - 9F,3,43:28.59,43:28,0h43m28s,1,1,42,2:49,11.938,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7757,534,69,118,479,468,183,15,22047,Jolteon
11-20,21:14:32,NINTEN,Raichu,Rocket,37,Silph Co - 9F,3,43:42.14,43:42,0h43m42s,1,1,42,2:49,8.578,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7778,536,70,118,482,471,183,15,22887,Jolteon
11-20,21:14:51,NINTEN,Raichu,Scientist,4,Silph Co - 3F,2,44:01.19,44:01,0h44m1s,1,1,43,2:51,8.828,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7831,548,71,118,485,474,184,16,23727,Jolteon
11-20,21:15:08,NINTEN,Raichu,Rocket,25,Silph Co - 3F,3,44:18.14,44:18,0h44m18s,1,1,43,2:52,10.454,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,7,7855,550,72,118,489,478,185,17,25177,Jolteon
11-20,21:15:43,NINTEN,Raichu,Rival5-Silph,5,Silph Co - 7F,5,44:52.87,44:52,0h44m52s,1,1,44,2:54,21.736,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,8,7870,551,73,118,498,487,189,17,26017,Jolteon
11-20,21:16:01,NINTEN,Raichu,Rocket,45,Silph Co - 11F,3,45:10.67,45:10,0h45m10s,1,1,45,2:55,9.86,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,8,7878,552,74,118,501,490,189,17,28617,Jolteon
11-20,21:16:28,NINTEN,Raichu,Giovanni-Silph,2,Silph Co - 11F,4,45:38.08,45:38,0h45m38s,1,1,45,2:57,19.873,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,8,7893,553,75,118,509,498,194,17,29547,Jolteon
11-20,21:17:04,NINTEN,Raichu,Psychic,3,Saffron City - Gym,3,46:13.50,46:13,0h46m13s,1,1,46,2:59,9.578,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,8,8014,562,76,118,512,501,194,17,33606,Jolteon
11-20,21:17:14,NINTEN,Raichu,Psychic,4,Saffron City - Gym,1,46:23.50,46:23,0h46m23s,1,1,46,3:00,4.393,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,8,8024,574,77,118,513,502,194,17,33936,Jolteon
11-20,21:17:34,NINTEN,Raichu,Sabrina,1,Saffron City - Gym,3,46:44.38,46:44,0h46m44s,1,1,47,3:01,13.938,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,9,8031,582,78,118,518,507,196,17,34316,Jolteon
11-20,21:18:08,NINTEN,Raichu,Juggler,3,Fuchsia City - Gym,4,47:17.68,47:17,0h47m17s,1,1,47,3:04,11.814,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,9,8073,586,79,118,522,511,196,18,39266,Jolteon
11-20,21:18:24,NINTEN,Raichu,Tamer,2,Fuchsia City - Gym,3,47:34.15,47:34,0h47m34s,1,1,48,3:05,12.859,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,9,8080,598,80,118,527,516,198,18,40351,Jolteon
11-20,21:18:38,NINTEN,Raichu,Tamer,1,Fuchsia City - Gym,2,47:47.60,47:47,0h47m47s,1,1,48,3:06,9.234,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,9,8096,615,81,118,530,519,199,18,41671,Jolteon
11-20,21:18:50,NINTEN,Raichu,Juggler,4,Fuchsia City - Gym,2,48:00.00,48:00,0h48m0s,1,1,48,3:06,8.485,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,9,8099,615,82,118,533,522,200,18,43031,Jolteon
11-20,21:19:19,NINTEN,Raichu,Koga,1,Fuchsia City - Gym,4,48:28.70,48:28,0h48m28s,1,1,49,3:08,13.313,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,10,8104,616,83,118,538,527,201,16,44221,Jolteon
11-20,21:20:53,NINTEN,Raichu,Fisher,7,Route 21,4,50:03.13,50:03,0h50m3s,1,1,49,3:15,11.577,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,10,8598,661,84,118,542,531,201,16,49171,Jolteon
11-20,21:23:05,NINTEN,Raichu,Blaine,1,Cinnabar Island - Gym,3,52:15.41,52:15,0h52m15s,2,2,50,3:22,16.938,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,11,9106,709,85,118,550,539,205,18,50151,Jolteon
11-20,21:23:32,NINTEN,Raichu,Cooltrainer M,10,Viridian City - Gym,1,52:42.21,52:42,0h52m42s,2,2,50,3:23,6.561,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,11,9185,712,86,118,553,542,207,19,55497,Jolteon
11-20,21:23:46,NINTEN,Raichu,Blackbelt,8,Viridian City - Gym,3,52:55.67,52:55,0h52m55s,2,2,51,3:24,9.516,THUNDERBOLT,BODY SLAM,THUNDER WAVE,SEISMIC TOSS,11,9193,714,87,118,556,545,207,19,57002,Jolteon
11-20,21:24:52,NINTEN,Raichu,Giovanni,3,Viridian City - Gym,5,54:01.79,54:01,0h54m1s,2,2,62,3:29,23.017,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,12,9261,731,88,118,563,552,209,16,57952,Jolteon
11-20,21:25:49,NINTEN,Raichu,Rival6-Route 22,8,Route 22,6,54:58.51,54:58,0h54m58s,2,2,63,3:32,30.688,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,13,9399,739,89,118,573,562,214,17,63397,Jolteon
11-20,21:27:18,NINTEN,Raichu,Cooltrainer F,5,Victory Road,2,56:28.01,56:28,0h56m28s,2,2,63,3:38,8.812,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,13,9744,804,90,118,576,565,214,19,66842,Jolteon
11-20,21:27:36,NINTEN,Raichu,Cooltrainer M,5,Victory Road,4,56:45.85,56:45,0h56m45s,2,2,64,3:39,13.344,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,13,9757,815,91,118,580,569,214,19,68382,Jolteon
11-20,21:27:59,NINTEN,Raichu,Blackbelt,9,Victory Road,3,57:09.42,57:09,0h57m9s,2,2,64,3:41,9.002,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,13,9797,830,92,118,583,572,214,19,69852,Jolteon
11-20,21:28:18,NINTEN,Raichu,Juggler,2,Victory Road,4,57:28.30,57:28,0h57m28s,2,2,65,3:42,14.453,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,13,9814,834,93,118,588,577,215,19,70927,Jolteon
11-20,21:28:30,NINTEN,Raichu,Tamer,5,Victory Road,2,57:40.24,57:40,0h57m40s,2,2,65,3:43,6.736,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,13,9841,837,94,118,590,579,215,19,72362,Jolteon
11-20,21:28:49,NINTEN,Raichu,Cooltrainer M,2,Victory Road,3,57:59.27,57:59,0h57m59s,2,2,65,3:44,11.563,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,14,9859,841,95,118,594,583,216,19,74122,Jolteon
11-20,21:29:38,NINTEN,Raichu,Cooltrainer F,3,Victory Road,3,58:47.80,58:47,0h58m47s,2,2,66,3:47,14.625,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,14,9952,888,96,118,599,588,217,17,75627,Jolteon
11-20,21:29:52,NINTEN,Raichu,Cooltrainer M,3,Victory Road,3,59:02.20,59:02,0h59m2s,2,2,66,3:48,9.858,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,14,9986,894,97,118,602,591,217,17,77132,Jolteon
11-20,21:30:07,NINTEN,Raichu,Cooltrainer F,2,Victory Road,3,59:16.77,59:16,0h59m16s,2,2,66,3:49,9.327,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,15,9988,895,98,118,605,594,217,17,78637,Jolteon
11-20,21:31:01,NINTEN,Raichu,Lorelei,1,Lorelei's Room,5,1:00:10.88,1:00:10,1h0m10s,2,2,67,3:53,16.877,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,16,10147,933,99,118,610,599,217,17,68142,Jolteon
11-20,21:31:41,NINTEN,Raichu,Bruno,1,Bruno's Room,5,1:00:51.18,1:00:51,1h0m51s,2,2,68,3:56,31.751,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,17,10158,935,100,118,625,610,225,17,73686,Jolteon
11-20,21:32:25,NINTEN,Raichu,Agatha,1,Agatha's Room,5,1:01:35.13,1:01:35,1h1m35s,2,2,68,3:58,29.547,THUNDERBOLT,BODY SLAM,REFLECT,MIMIC,18,10169,936,101,118,636,620,230,17,79428,Jolteon
